Year,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,United Arab Emirates,Argentina,Antigua and Barbuda,Australia,Austria,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Spain,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,High income,Honduras,Heavily indebted poor countries (HIPC),Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kenya,Cambodia,St. Kitts and Nevis,"Korea, Rep.",Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lower middle income,Low & middle income,Late-demographic dividend,Luxembourg,Morocco,Madagascar,Middle East & North Africa,Mexico,Middle income,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Mongolia,Mozambique,Mauritania,Mauritius,Malaysia,North America,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,OECD members,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,"Korea, Dem. People's Rep.",Portugal,Paraguay,Pacific island small states,Post-demographic dividend,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Sweden,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Upper middle income,Uruguay,United States,St. Vincent and the Grenadines,"Venezuela, RB",Vietnam,World,Samoa,"Yemen, Rep.",South Africa
1960,0.906059557,0.046056743,0.090879548,0.100835243,1.258194928,0.609268338,0.119036541,2.383342738,0.677418163,8.582936643,4.373318828,9.941594074,0.0663542,0.0091119,0.294804972,2.833901121,3.544434799,3.74962568,0.47795108,0.274752178,0.649885857,0.746148018,4.084068684,0.058606829,10.77084729,5.22890328,3.664365979,1.658786783,1.170381372,0.131877899,0.052416881,0.152227966,0.219677016,1.021927841,0.057560093,0.109044952,0.369238654,1.40133635,1.918421742,1.548896642,0.482303848,0.183288904,6.502683093,0.316137771,0.557120254,0.952570353,0.616754236,1.182972608,8.848806795,7.253356013,0.38819537,0.602793215,1.606592711,0.015892171,4.729285725,0.536297511,3.409846728,0.493928535,5.81743531,0.263538036,11.15075916,0.220509797,0.11753999,0.050226134,0.029757847,0.086168138,1.128920482,0.244665117,0.325945293,1.154328426,7.63240628,0.302190288,0.121486446,0.073981897,4.544465241,1.920254119,1.656610916,0.266622417,0.347507054,0.243920444,0.206773593,0.267634188,3.952726791,1.706876995,1.133840612,6.913193297,3.059851846,2.178444772,0.90294463,0.797770233,2.497223223,0.298956833,0.041012363,0.214867478,0.501837251,1.05919214,0.038037769,1.430283085,0.147511967,0.4784972,0.1635265,1.376666311,0.139675606,0.273905484,0.22875867,0.451862468,1.564819871,2.685637307,36.6851833,0.295358036,0.078382851,0.940739853,1.670990053,1.651393372,0.022989604,1.044345429,0.125005917,0.831613265,1.354716938,0.262334322,0.043122051,0.272514943,0.437449901,15.52999501,0.008656818,0.075470962,0.299873331,6.39917962,3.658563698,0.007983525,4.867069736,7.183293878,0.81300265,0.314626187,0.880335038,0.804897503,0.317288663,1.501484287,0.079651733,6.740362582,0.156532863,2.084801381,0.928578089,0.159854306,0.375594206,7.860524799,3.714750016,2.903812021,12.08234859,0.036225612,0.264732969,0.655056339,0.18032439,0.258436171,0.846367833,0.093349852,0.30853179,0.224024417,0.030603051,0.556098657,0.556019582,1.091089862,0.171104613,1.503129885,6.576406584,0.704773835,0.018325202,0.937974588,8.546411492,0.041762522,0.13558575,1.299653791,0.826035208,0.178663072,0.264732969,0.556019582,3.044398819,0.41337,0.612271456,0.082444245,0.062317019,2.573290549,1.701585253,15.99977916,0.135865135,7.009414089,0.181946687,3.121158107,0.135030886,0.011038217,5.727222706
1961,0.922473917,0.053588858,0.095282835,0.082204109,1.374186047,0.662617677,0.109135822,2.458550953,0.866666667,8.641569017,4.496361641,10.10387199,0.052048673,0.018729901,0.296923775,3.269920074,10.54896694,4.74624519,0.387222809,0.279281536,0.662130535,0.83873933,3.55728144,0.057670192,10.62789765,5.460761919,3.751824984,1.743014286,0.836046901,0.152474138,0.053426338,0.150781829,0.256625562,1.099580953,0.056662666,0.107159034,0.355765005,2.059981254,1.67074999,1.501403534,0.497203485,0.180237892,6.881260155,0.302507837,0.535024544,0.707139917,0.628423033,1.022153677,9.007024968,7.415604227,0.352250964,0.624427054,1.74622172,0.015042481,4.932845597,0.508366386,3.348877215,0.41420377,5.952753977,0.326250067,11.15413892,0.196514576,0.173435869,0.059075922,0.047106883,0.085020055,1.169782628,0.200768692,0.331175323,1.250805228,7.701205603,0.351585832,0.125010129,0.075350156,4.883326797,1.815313915,1.565141811,0.271155889,0.359420555,0.288847528,0.208196673,0.283703708,4.377964877,1.625491634,1.166517577,6.103849097,3.235686957,2.46455581,1.29039403,1.005242391,3.010133103,0.28670005,0.048702121,0.429760138,0.561314583,1.072799137,0.052377508,1.439571643,0.141247864,0.797984882,0.202109835,1.370715508,0.141065055,0.291898923,0.231008939,0.469618444,1.470822608,2.520819863,36.58377756,0.297154648,0.068095117,0.973669607,1.67596163,1.550339612,0.022047739,0.901952344,0.116721261,0.824339132,1.418740538,0.358603111,0.05444468,0.274719173,0.475265155,15.22591183,0.015777372,0.089319477,0.306623448,6.520357665,3.698694388,0.007857403,4.863166095,7.23277098,0.995630009,0.318179228,0.945718521,0.827360491,0.321187596,5.110292654,0.087801669,6.922802563,0.163256429,2.267986485,1.018050319,0.185737192,0.390824504,7.919592274,3.137418088,3.005891594,12.32251256,0.046474475,0.278026645,0.846594761,0.178406649,0.247042436,1.229944196,0.120838654,0.12314942,0.20482428,0.031273664,0.568304471,0.568223147,1.486097767,0.170302026,1.449882229,6.49624827,0.649233687,0.016775123,0.686591774,8.708499797,0.057385715,0.146944078,1.300379624,0.818809866,0.172643242,0.278026645,0.568223147,5.32147375,0.417044643,0.616879281,0.068047236,0.058282826,2.408431907,1.602728487,15.68125552,0.133884237,6.153191257,0.183098874,3.068090418,0.163541815,0.013599024,5.832620932
1962,0.930815894,0.073720823,0.096612374,0.210532979,1.439955964,0.727117018,0.163541815,2.538447236,1.838457269,8.835688047,4.755361673,10.64118963,0.054208783,0.017003109,0.317335601,3.835891818,9.191856301,5.995986523,0.715387301,0.289271932,0.701775494,1.119222949,4.138918689,0.047257956,11.13062748,5.796790472,4.333572069,1.973032225,0.661428164,0.155597445,0.053659472,0.135559233,0.222920852,1.137455457,0.055785438,0.087250941,0.383752423,2.703741229,1.901015827,1.567864413,0.506045455,0.177498467,7.945107361,0.353054997,0.487888633,0.581380752,0.648722425,0.925117471,9.377889793,7.73822894,0.325586574,0.661467926,1.935781533,0.017054797,5.299049686,0.512157745,3.742567366,0.54786766,6.235408423,0.172131003,11.14292839,0.202743763,0.182769807,0.067570271,0.064141319,0.083906963,1.20320119,0.277559715,0.315730539,1.118935618,7.95720612,0.324912509,0.122272056,0.075727308,5.02503803,1.799492212,1.551265749,0.281270683,0.378967201,0.248553409,0.213819235,0.305850957,4.626338041,1.623751474,1.176904562,6.57485552,3.463899695,2.878496387,1.264256487,1.037713465,3.088711554,0.303639574,0.051095857,0.287827947,0.651713667,1.094238397,0.059434799,1.483717041,0.21687977,0.676265061,0.199527706,1.416589701,0.148720166,0.315789377,0.24760321,0.490726459,1.453695286,2.49147945,36.01262666,0.235227635,0.073990887,1.03488403,1.587485065,1.530503721,0.025894164,1.018925594,0.126984962,0.821712029,1.950749856,0.264743865,0.069135734,0.361281304,0.468692942,15.57257227,0.018395152,0.088887863,0.349714373,7.060853797,3.868626059,0.008435422,4.516526591,7.450366961,0.997926065,0.341225511,0.991124765,0.927541497,0.368563124,4.970277858,0.084610458,7.15360516,0.166416967,2.587839881,1.034377865,0.195531912,0.4701416,8.177207791,3.388973803,3.420285867,12.79009493,0.027626184,0.299625306,1.433922987,0.185546272,0.240366505,1.472917952,0.117306462,0.136624498,0.221432137,0.036998972,0.574513886,0.574431363,1.782748378,0.170616334,1.629005508,6.787859772,0.657369434,0.027021754,0.554823013,9.059562701,0.054569772,0.17313024,1.335198996,0.816200385,0.166095451,0.299625306,0.574431363,8.231023065,0.417335872,0.750243117,0.071949522,0.05945828,2.370115663,1.540659853,16.0139375,0.132161607,6.188716289,0.217693502,3.114839453,0.158377099,0.012728752,5.887167587
1963,0.940569529,0.074160764,0.112376069,0.202739053,1.181681144,0.853115859,0.175833134,2.330684619,1.487469357,9.226439909,5.155193747,11.38692874,0.047588467,0.017504238,0.35467377,4.259780927,6.710612882,5.557805874,0.622363101,0.312894364,0.706049512,0.816172442,3.802640582,0.04643609,11.1321024,6.212908524,5.111295488,2.006373239,0.640001899,0.159083659,0.054492268,0.13944636,0.21400681,1.205764352,0.054903155,0.067880067,0.404551463,1.350230132,1.710525888,1.706856336,0.656005884,0.23313254,8.6898313,0.343707859,0.455573837,0.566720696,0.666634701,0.945461548,9.913461713,8.189670354,0.363069967,0.746574073,1.879509312,0.017719875,5.736879246,0.526569966,4.279630907,0.554710832,6.87529138,0.141699818,11.25485346,0.23609051,0.189712353,0.075679441,0.075071495,0.096498186,1.445674897,0.157029837,0.337545504,0.989521025,8.296748758,0.320924865,0.126203462,0.060851857,5.579045568,1.852266857,1.598294168,0.307130277,0.429676377,0.239783195,0.227941271,0.321794976,4.718965523,1.74583313,1.190893799,7.031677377,3.451203447,3.215100133,1.407685806,1.162728097,3.391267602,0.319940617,0.062860289,0.362860931,0.774109781,1.079507185,0.064521464,1.525916134,0.298456279,0.910379624,0.236037505,1.377124267,0.157242346,0.329648713,0.239102918,0.51935698,1.499288894,2.572189164,35.32358531,0.293829583,0.084217123,1.169979347,1.600528243,1.578138451,0.032346262,1.273303364,0.11365402,0.888013317,1.537316755,0.216310772,0.094760439,0.290764139,0.553699657,15.99706747,0.023824677,0.111385101,0.433353543,7.623924888,4.086515969,0.009336402,4.830336124,7.757249546,2.087976591,0.38263523,0.956047859,0.925178455,0.395863595,5.205848949,0.107584297,7.528621321,0.175065529,2.72377781,1.110208624,0.199337973,0.47706161,8.529163346,99.4565545,3.698826568,13.56506012,0.027159315,0.318525547,1.537747479,0.203603231,0.247510235,1.89376546,0.113848399,0.152611354,0.372867002,0.034965697,0.588051995,0.587967367,1.749514796,0.114170961,1.704515219,7.281603319,0.717428797,0.028796234,0.538429171,9.572827425,0.065170816,0.185877686,1.305285856,0.882056955,0.15949257,0.318525547,0.587967367,1.467707759,0.444553448,0.767637944,0.073218331,0.057990768,2.435563045,1.639286941,16.48276215,0.174204276,6.208593147,0.196997034,3.221195326,0.184037072,0.014518154,5.961337137
1964,0.996033447,0.086173694,0.133258462,0.213562174,1.11174196,0.972381436,0.13281516,2.553441563,1.590447772,9.759073431,5.391003988,11.05365472,0.055303618,0.02157528,0.354201478,5.262987916,8.742027908,8.118110766,0.818296481,0.374319912,0.699884334,0.76595137,3.486347233,0.04559193,12.3053704,6.612333622,4.865282038,1.986497511,0.625646054,0.187339475,0.059784099,0.116926933,0.237872705,1.19441082,0.053989458,0.131581662,0.438151567,2.362952174,1.834145103,1.730111574,0.783969437,0.229470753,9.146392939,0.465558088,0.462362729,0.56247605,0.693006994,0.97457012,10.42203767,8.517185137,0.421134474,0.860935322,2.037725257,0.016683889,6.011416269,0.531908103,5.024189944,0.944142336,7.013994552,0.363283044,11.26583889,0.219304483,0.187476846,0.074078563,0.091414896,0.094853963,1.553764446,0.233760439,0.381650342,1.017597027,8.611625717,0.316835552,0.133944369,0.071977156,6.166240754,1.913832338,1.651430317,0.323381816,0.459788895,0.229458195,0.237430549,0.308168697,4.964723099,1.956609911,1.11740983,6.927178635,3.696632323,3.405053435,2.349691664,1.127638325,3.708020691,0.30655442,0.053863077,0.367228809,0.793961905,1.150382373,0.07406053,1.600650294,0.397439866,0.397960334,0.23248835,1.445430536,0.16212174,0.351433946,0.209543301,0.529500398,1.550914775,2.655106109,37.54828986,0.319130595,0.086049758,1.323094575,1.736658443,1.631695161,0.031981104,1.552410895,0.120595578,0.972739645,1.904282664,0.272559353,0.12264291,0.418299766,0.694262385,16.54338452,0.025071513,0.14827406,0.473343341,7.987673248,4.382327935,0.013941727,5.069180011,8.036766084,2.218070465,0.383564552,0.973973836,1.077547463,0.428529027,5.436619718,0.109969929,7.807291587,0.18693577,2.903167023,1.21998414,0.204533713,0.723222252,8.854568021,92.86635979,3.811762869,14.26705672,0.011588815,0.307700506,1.506845396,0.218623166,0.258106647,2.011115334,0.138100116,0.123389378,0.396232149,0.045208853,0.630035147,0.629941305,2.292084569,0.171147204,1.889220557,7.887921639,0.839828965,0.030496897,0.531973025,10.04937029,0.079426114,0.242241089,1.372905509,0.966214981,0.153336864,0.307700506,0.629941305,4.204809333,0.618138396,0.870789887,0.091547783,0.063657355,2.523331069,1.710103576,16.96811858,0.215409378,6.041541446,0.20987044,3.32404569,0.208105654,0.017549815,6.332343263
1965,1.047279743,0.101284933,0.184802797,0.205890819,1.166099043,1.138673758,0.146821928,2.656466458,2.561321317,10.62232139,5.252196533,11.14165555,0.057114887,0.019841256,0.36064111,5.645651942,6.554083614,9.399207483,0.794770072,0.374066477,0.676455201,0.872297857,3.259078035,0.053673037,12.81400147,6.765929428,5.185731956,1.976350579,0.665524211,0.277616178,0.053986827,0.142289856,0.21264613,1.222186982,0.070713353,0.111400437,0.531804946,2.601911806,1.835764524,1.981916512,1.052489215,0.225508886,9.316576004,0.399063069,0.525615176,0.601438482,0.724736649,1.036636055,10.91080114,8.816231779,0.434251656,0.908284566,2.225610193,0.025801609,6.188186542,0.628451879,5.549837063,0.742947668,7.062752074,0.405643875,11.45615951,0.220319549,0.183267481,0.072388454,0.101579729,0.106175985,1.991253557,0.23249572,0.413930811,1.653866982,8.884268575,0.320431968,0.152618241,0.071467483,6.04003721,1.995100231,1.722733705,0.352693453,0.521420232,0.246241473,0.251567457,0.332527209,4.772847809,2.154511916,2.305940988,7.265879991,5.050530628,3.641502446,1.703534513,1.212331598,3.950096353,0.258955802,0.062371747,0.447113333,0.871121999,1.141467007,0.075415116,1.586062052,0.447660597,0.586023711,0.267001602,1.451086346,0.1742014,0.407409681,0.239277911,0.571122921,1.625500999,2.76393809,36.81380392,0.299438172,0.096613491,1.534246693,1.705354765,1.707248922,0.035560416,1.483823714,0.112461683,1.118860552,1.768711821,0.249508006,0.163654381,0.404197875,0.680930405,17.02698453,0.023421624,0.234674329,0.3776247,8.174053896,4.407489804,0.016375143,5.212262974,8.271750753,2.175650782,0.392280899,1.163127273,1.021689888,0.452354331,5.997819173,0.122457938,7.862051172,0.267690543,3.528028637,1.288947997,0.253209833,0.614723552,9.140935648,85.46090641,4.136449656,14.96747625,0.014733571,0.328889183,0.871395061,0.276799086,0.460008053,1.340945466,0.187618317,0.112573189,0.325313075,0.043022163,0.682420918,0.682315986,2.364572746,0.169548733,2.419108102,8.097993717,0.684516512,0.032131843,0.563420142,10.47629053,0.077261855,0.234152171,1.384045013,1.11135578,0.147966321,0.328889183,0.682315986,5.699133088,0.541832887,0.884280713,0.099910209,0.078518925,2.630169905,2.049517969,17.45172525,0.170540292,6.271780502,0.217933954,3.432394516,0.230892133,0.017926077,6.616545312
1966,1.033908319,0.107398839,0.193675909,0.268937204,1.333055465,1.251997332,0.160452309,2.806896016,5.81461143,10.32809244,5.361724683,11.04201943,0.042382648,0.01953367,0.355616101,5.905436715,3.384305342,7.46521748,0.737772982,0.410061863,0.750374992,1.133880314,4.580588027,0.050412458,12.93491815,6.930168059,5.327620031,2.053281667,0.710891382,0.295285765,0.058325778,0.134673889,0.259548931,1.218990003,0.086699736,0.092191657,0.60407969,2.529154305,1.871119626,2.12384314,1.134037566,0.221236802,10.44901166,0.418059321,0.65338893,0.639845771,0.743410702,1.09112059,11.40440119,9.114528997,0.448236784,0.850377447,2.407735709,0.032177907,6.416514769,0.667962036,6.444050245,0.677364982,6.899139977,0.70218129,11.31896078,0.181470236,0.185709074,0.079433809,0.100161154,0.090541294,2.165209851,0.309008174,0.35469344,1.77688791,9.171825388,0.334080806,0.155222598,0.070107859,6.065040728,2.070171236,1.786613569,0.36356995,0.541474509,0.227084338,0.257871285,0.337039496,5.231136458,2.503923958,3.202365763,7.650130388,5.172018258,4.079440621,1.977128056,1.250248804,4.246220625,0.272471888,0.071279207,0.455047465,1.0196641,1.207201515,0.096215271,1.699101898,0.480886688,1.457700856,0.300201594,1.482761423,0.176306422,0.433752445,0.233926752,0.592207615,1.694504001,2.865043705,34.80352506,0.374605379,0.097892539,1.706669306,1.777924903,1.779079357,0.033834031,1.314628807,0.113153768,1.304864472,1.714540485,0.258555913,0.17683716,0.357726781,0.785832561,17.64292429,0.033684222,0.252017803,0.450640791,8.321531816,5.2127318,0.017067218,5.237592586,8.539540797,2.130234177,0.388942017,1.224277189,1.100485124,0.506016522,5.904991948,0.134280932,7.975704744,0.312345638,3.703785021,1.327035861,0.2301396,0.601652148,9.453097325,78.62121478,4.381022511,15.71682391,0.013247537,0.331782873,1.278789948,0.292215359,0.453853281,0.348804797,0.182056101,0.117846197,0.396317617,0.044326125,0.679341254,0.679236184,2.304314984,0.166248564,3.242397717,9.29736416,0.885508424,0.025010809,0.600145672,10.91577527,0.10128578,0.289095663,1.420077224,1.296112077,0.143290697,0.331782873,0.679236184,4.412122043,0.621834111,0.99463063,0.114426986,0.088752448,2.741215387,1.985095144,18.12107301,0.210972649,5.690063409,0.225433919,3.534191045,0.196438411,0.01702285,6.453858078
1967,1.052204052,0.123409413,0.189305086,0.172095822,1.3637463,1.316087107,5.400016493,2.871099282,9.221391248,10.9556248,5.417736727,11.21725675,0.052284057,0.019216829,0.365431271,6.638369161,5.124747526,11.17247954,1.073677766,0.449587674,0.751887365,1.425515822,3.913345072,0.053664273,13.8103546,7.143074036,5.434600874,2.06818039,0.574162147,0.327629172,0.075734182,0.124703324,0.264603168,1.245901451,0.084923576,0.074074224,0.516526968,2.976362509,1.905281192,2.306987473,0.669746204,0.325055033,10.14930055,0.380654362,0.635888609,0.547881216,0.788686227,1.0748875,11.82717117,9.335340675,0.466288298,0.613826161,2.647227559,0.04088377,6.676945864,0.732262002,6.213386589,0.728931724,7.326519797,1.826702812,10.78410455,0.183963143,0.1842318,0.07735888,0.071231227,0.087972007,2.249413986,0.385951248,0.393040624,1.958667537,9.486342053,0.352480154,0.164868169,0.058833512,5.758242269,2.059088135,1.777334352,0.371156652,0.536331415,0.232007107,0.269357839,0.330973864,5.655047288,2.581607808,2.055756775,7.269387324,4.933417486,4.431482557,2.145307776,1.026444621,4.904753392,0.265284167,0.062524744,0.464294758,1.166635088,1.246531679,0.127768653,1.642343976,0.469972341,9.850260449,0.332122371,1.557422865,0.183662543,0.458073787,0.252904144,0.583760213,1.6827277,2.822342884,33.91204645,0.36218708,0.138866547,1.771404059,1.918848664,1.764774136,0.039200749,1.671365752,0.142436887,1.295907711,1.83477215,0.222606822,0.18906664,0.636179596,0.843901364,18.15419062,0.031851658,0.245273592,0.492314897,8.476054637,5.10729497,0.018684587,5.007613524,8.804698034,2.393053299,0.402062178,1.218102859,1.102450434,0.555457612,6.47365169,0.168041297,8.105834014,0.26738775,3.966317174,1.398287231,0.212900139,0.672439768,9.776844481,77.50594452,4.716318555,16.34094217,0.011791352,0.329633906,4.909921688,0.341265619,0.179605185,1.546459345,0.227107261,0.097436535,0.342084629,0.070435447,0.688908285,0.688800677,2.644872985,0.16168668,3.83920523,8.770023403,0.80293647,0.034163101,0.50354021,11.29739696,0.106722358,0.360199432,1.485091168,1.287215393,0.185591011,0.329633906,0.688800677,5.013607383,0.651323081,1.032197801,0.142543991,0.094779523,2.721412806,1.776102682,18.59831788,0.208876838,6.352988554,0.195461323,3.585995251,0.191301302,0.017379521,6.560824023
1968,1.079726652,0.115142487,0.143988572,0.289701979,1.519551277,1.457734159,6.807102179,2.981777188,15.83561249,11.21016771,5.711110104,12.32568713,0.055170749,0.018894945,0.406076996,7.112214403,5.500902059,10.28575841,0.884642226,0.506849761,0.856553524,1.854822733,3.639100232,0.105119946,14.6326452,7.561579657,5.937701579,2.241517582,0.605451997,0.374236548,0.081601765,0.178174656,0.359750383,1.304524426,0.083124031,0.11451815,0.593790089,2.938122789,1.905948489,2.714276644,0.861521266,0.318712518,10.96131479,0.553387722,0.663161217,0.5854578,0.845848523,1.164343423,12.07173338,9.665967546,0.544401482,0.696556934,2.93409754,0.064100811,7.095467681,0.769975361,7.200890139,0.793748397,7.515931987,3.467609229,10.99348823,0.21195327,0.186408841,0.083608837,0.091616931,0.097977396,2.553669959,0.42491757,0.413095825,1.94000239,9.890795253,0.478293826,0.17963967,0.05854436,5.962915575,2.126508525,1.834291461,0.380870755,0.504302987,0.253602314,0.293461976,0.352457485,6.112609971,3.048352625,2.129157264,7.916823831,4.926836247,4.686612774,2.126847267,1.00464548,5.569348596,0.267547187,0.072477004,0.711286881,1.207655726,1.315808733,0.065972712,1.673627141,0.662488943,15.38564221,0.362968682,1.613820852,0.198298132,0.518147211,0.271547556,0.630489566,1.738467612,2.886555635,36.53351794,0.367723709,0.146457244,1.994392954,1.940637043,1.819969744,0.034254215,2.072289704,0.11262372,1.541506075,2.056623953,0.322665709,0.217388244,0.799157829,0.826482914,18.67382277,0.037840253,0.12397821,0.544069366,8.920252219,5.539193646,0.021804957,4.907836687,9.16742971,2.735139885,0.448936014,1.408343765,1.138784912,0.658417587,6.719633508,0.189103438,8.548589914,0.251312085,4.359184248,1.472335783,0.251022779,0.696223498,10.2000439,75.97125722,5.060132786,16.70466286,0.015582864,0.354107668,5.401993421,0.322199027,-0.020097621,2.693750497,0.24465097,0.14562534,0.362315977,0.046491494,0.686533323,0.686425617,2.807205783,0.208773378,4.07271891,9.818341076,1.004496744,0.035628699,0.536371591,11.57072583,0.099883491,0.491478128,1.547447766,1.531166403,0.180916671,0.354107668,0.686425617,4.341500572,0.74244864,1.091947115,0.129960672,0.111156957,2.789009978,1.760311609,19.08938916,0.248153119,6.132863919,0.203763824,3.704543018,0.213377557,0.021384211,6.593619651
1969,1.104631605,0.086509888,0.20212888,0.480199019,1.558967572,1.767050985,101.0531553,3.28816092,19.79105628,11.60055435,6.006325178,12.81544961,0.070750357,0.021889876,0.3827899,7.869932816,6.175827643,10.62607372,1.137588141,0.580638187,0.909093429,2.018704589,3.94600958,0.105132472,14.61864861,8.067365367,6.208288851,2.343377103,0.725149509,0.426040997,0.089986371,0.187685825,0.38958635,1.339331309,0.081371714,0.139185686,0.638398546,3.076164721,2.016093997,2.758775888,0.562689724,0.261130259,12.14297486,0.607096021,0.801894917,0.679831319,0.872448208,1.320421097,12.49480614,10.08133776,0.609573482,0.584380702,2.897101868,0.060337113,7.541633978,0.854405804,8.20434233,0.848929191,8.014841113,2.482146443,11.34267041,0.198413548,0.18314347,0.105647256,0.084736289,0.14475,2.903833843,0.503267422,0.428727655,1.965942884,10.42821125,0.446293955,0.195901048,0.068651487,6.06091396,2.226970784,1.921456573,0.409249756,0.556528776,0.298784274,0.309886669,0.35118733,6.313294461,2.993568793,2.36035568,6.220785862,5.150624609,5.043311221,2.309645891,1.08824695,6.397617977,0.287023253,0.195591155,0.563794505,1.348027309,1.397495335,0.121745976,1.934155953,0.931173802,17.39466538,0.607598515,1.712493396,0.211382983,0.559294272,0.353642602,0.642273876,1.8225816,3.049371929,39.0929363,0.372160715,0.132888883,2.251860328,2.047987359,1.906949354,0.027527132,2.145008216,0.120737981,1.587159982,2.160856471,0.36769594,0.247158164,0.704146331,0.903072261,19.36723929,0.043476348,0.221358869,0.55139668,9.00064816,5.775392981,0.03377394,5.147130698,9.615685983,2.592878281,0.423921663,1.390820471,1.168759718,0.657157332,11.36369114,0.205010657,9.022079801,0.304601734,4.578273516,1.668587261,0.215759867,0.744271305,10.72753871,71.10083267,5.579907153,17.29808493,0.01610436,0.35026156,6.304068334,0.420320901,0.118882043,3.527860465,0.236840406,0.411174362,0.333192706,0.047641151,0.72646224,0.726346253,2.792959765,0.202314451,4.185681594,10.851792,1.179713519,0.045215758,0.629091577,12.00124142,0.118935457,0.40644265,1.632679746,1.576514086,0.132764509,0.35026156,0.726346253,4.167116596,0.778798473,1.13955118,0.136947379,0.12895768,2.932650093,2.002063658,19.85794566,0.327538659,6.245173175,0.201174203,3.875169073,0.208804584,0.02225325,6.665435015
